M,N,K,q_dtype_w
320,28672,6400,torch.int8
1024,28672,6400,torch.int8
3000,28672,6400,torch.int8
2,28672,7168,torch.int8
28,28672,7168,torch.int8
32,28672,7168,torch.float8_e4m3fn
33,28672,7168,torch.float8_e4m3fn
112,28672,7168,torch.float8_e4m3fn
224,28672,7168,torch.int8
256,28672,7168,torch.int8
5120,28672,7168,torch.int8
6000,28672,7168,torch.int8
8192,28672,7168,torch.int8
5,28672,8192,torch.float8_e4m3fn
5,28672,8192,torch.int8
8,28672,8192,torch.float8_e4m3fn
14,28672,8192,torch.float8_e4m3fn
40,28672,8192,torch.int8
48,28672,8192,torch.float8_e4m3fn
192,28672,8192,torch.int8
320,28672,8192,torch.float8_e4m3fn
1024,28672,8192,torch.int8
3072,28672,8192,torch.int8
1,51200,3200,torch.int8
7,51200,3200,torch.int8
8,51200,3200,torch.int8
10,51200,3200,torch.int8
640,51200,3200,torch.int8
768,51200,3200,torch.int8
6144,51200,3200,torch.float8_e4m3fn
2,51200,5120,torch.float8_e4m3fn
9,51200,5120,torch.int8
17,51200,5120,torch.float8_e4m3fn
20,51200,5120,torch.int8
24,51200,5120,torch.float8_e4m3fn
40,51200,5120,torch.int8
112,51200,5120,torch.float8_e4m3fn
333,51200,5120,torch.float8_e4m3fn
384,51200,5120,torch.int8
500,51200,5120,torch.int8
896,51200,5120,torch.int8
49152,51200,5120,torch.int8
2,51200,6656,torch.int8
3,51200,6656,torch.int8
5,51200,6656,torch.int8
15,51200,6656,torch.int8
17,51200,6656,torch.float8_e4m3fn
32,51200,6656,torch.float8_e4m3fn
33,51200,6656,torch.int8
448,51200,6656,torch.int8
1280,51200,6656,torch.float8_e4m3fn
4,53248,896,torch.float8_e4m3fn
6,53248,896,torch.int8
8,53248,896,torch.float8_e4m3fn
17,53248,896,torch.int8
24,53248,896,torch.int8
28,53248,896,torch.int8
300,53248,896,torch.int8
512,53248,896,torch.int8
6000,53248,896,torch.float8_e4m3fn
6144,53248,896,torch.int8
8192,53248,896,torch.int8
12288,53248,896,torch.int8
1,53248,16384,torch.float8_e4m3fn
3,53248,16384,torch.int8
5,53248,16384,torch.int8
9,53248,16384,torch.int8
20,53248,16384,torch.int8
28,53248,16384,torch.int8
96,53248,16384,torch.float8_e4m3fn
160,53248,16384,torch.float8_e4m3fn
224,53248,16384,torch.int8
512,53248,16384,torch.float8_e4m3fn
20000,53248,16384,torch.float8_e4m3fn
20480,53248,16384,torch.float8_e4m3fn
2,57344,3200,torch.float8_e4m3fn
2,57344,3200,torch.int8
4,57344,3200,torch.int8
20,57344,3200,torch.int8
56,57344,3200,torch.float8_e4m3fn
64,57344,3200,torch.int8
80,57344,3200,torch.int8
224,57344,3200,torch.int8
384,57344,3200,torch.int8
65536,57344,3200,torch.int8
3,57344,3584,torch.float8_e4m3fn
6,57344,3584,torch.float8_e4m3fn
15,57344,3584,torch.int8
20,57344,3584,torch.int8
28,57344,3584,torch.int8
112,57344,3584,torch.int8
128,57344,3584,torch.int8
192,57344,3584,torch.float8_e4m3fn
192,57344,3584,torch.int8
768,57344,3584,torch.float8_e4m3fn
1536,57344,3584,torch.int8
6000,57344,3584,torch.float8_e4m3fn
8192,57344,3584,torch.float8_e4m3fn
9,57344,7424,torch.float8_e4m3fn
56,57344,7424,torch.float8_e4m3fn
192,57344,7424,torch.int8
320,57344,7424,torch.int8
448,57344,7424,torch.int8
512,57344,7424,torch.int8
1536,57344,7424,torch.float8_e4m3fn
3,57344,8192,torch.int8
10,57344,8192,torch.float8_e4m3fn
40,57344,8192,torch.float8_e4m3fn
48,57344,8192,torch.float8_e4m3fn
777,57344,8192,torch.float8_e4m3fn
3333,57344,8192,torch.int8
6144,57344,8192,torch.int8
40000,57344,8192,torch.int8
