M,N,K,q_dtype_w
3072,8192,5120,torch.float8_e4m3fn
448,8192,7168,torch.float8_e4m3fn
2560,8192,7168,torch.float8_e4m3fn
20000,8192,7168,torch.float8_e4m3fn
20480,8192,7168,torch.float8_e4m3fn
17,8192,8192,torch.float8_e4m3fn
28,8192,8192,torch.float8_e4m3fn
48,8192,8192,torch.float8_e4m3fn
1280,8192,8192,torch.float8_e4m3fn
1,8192,13312,torch.float8_e4m3fn
2,8192,13312,torch.float8_e4m3fn
14,8192,13312,torch.float8_e4m3fn
20,8192,13312,torch.float8_e4m3fn
32,8192,13312,torch.float8_e4m3fn
64,8192,13312,torch.float8_e4m3fn
448,8192,13312,torch.float8_e4m3fn
1024,8192,13312,torch.float8_e4m3fn
1500,8192,13312,torch.float8_e4m3fn
2560,8192,13312,torch.float8_e4m3fn
10000,8192,13312,torch.float8_e4m3fn
10,8192,28672,torch.float8_e4m3fn
11,8192,28672,torch.float8_e4m3fn
28,8192,28672,torch.float8_e4m3fn
160,8192,28672,torch.float8_e4m3fn
1,9216,4096,torch.float8_e4m3fn
2,9216,4096,torch.float8_e4m3fn
320,9216,4096,torch.float8_e4m3fn
640,9216,4096,torch.float8_e4m3fn
20,9216,7168,torch.float8_e4m3fn
28,9216,7168,torch.float8_e4m3fn
32,9216,7168,torch.float8_e4m3fn
48,9216,7168,torch.float8_e4m3fn
56,9216,7168,torch.float8_e4m3fn
640,9216,7168,torch.float8_e4m3fn
768,9216,7168,torch.float8_e4m3fn
896,9216,7168,torch.float8_e4m3fn
3333,9216,7168,torch.float8_e4m3fn
12,9216,16384,torch.float8_e4m3fn
100,9216,16384,torch.float8_e4m3fn
320,9216,16384,torch.float8_e4m3fn
40,10240,1280,torch.float8_e4m3fn
64,10240,1280,torch.float8_e4m3fn
200,10240,1280,torch.float8_e4m3fn
2048,10240,1280,torch.float8_e4m3fn
5,10240,3200,torch.float8_e4m3fn
16,10240,3200,torch.float8_e4m3fn
28,10240,3200,torch.float8_e4m3fn
40,10240,3200,torch.float8_e4m3fn
768,10240,3200,torch.float8_e4m3fn
1024,10240,3200,torch.float8_e4m3fn
2048,10240,3200,torch.float8_e4m3fn
6000,10240,3200,torch.float8_e4m3fn
2,10240,8192,torch.float8_e4m3fn
12,10240,8192,torch.float8_e4m3fn
56,10240,8192,torch.float8_e4m3fn
112,10240,8192,torch.float8_e4m3fn
1536,10240,8192,torch.float8_e4m3fn
56,10240,9216,torch.float8_e4m3fn
256,10240,9216,torch.float8_e4m3fn
896,10240,9216,torch.float8_e4m3fn
3072,10240,9216,torch.float8_e4m3fn
48,10240,18432,torch.float8_e4m3fn
64,10240,18432,torch.float8_e4m3fn
112,10240,18432,torch.float8_e4m3fn
2560,10240,18432,torch.float8_e4m3fn
2,11264,1536,torch.float8_e4m3fn
3,11264,1536,torch.float8_e4m3fn
2048,11264,1536,torch.float8_e4m3fn
5120,11264,1536,torch.float8_e4m3fn
2,11264,5120,torch.float8_e4m3fn
4,11264,5120,torch.float8_e4m3fn
10,11264,5120,torch.float8_e4m3fn
33,11264,5120,torch.float8_e4m3fn
448,11264,5120,torch.float8_e4m3fn
500,11264,5120,torch.float8_e4m3fn
6,11264,16384,torch.float8_e4m3fn
11,11264,16384,torch.float8_e4m3fn
15,11264,16384,torch.float8_e4m3fn
17,11264,16384,torch.float8_e4m3fn
40,11264,16384,torch.float8_e4m3fn
224,11264,16384,torch.float8_e4m3fn
6144,11264,16384,torch.float8_e4m3fn
1,12288,1536,torch.float8_e4m3fn
5,12288,1536,torch.float8_e4m3fn
9,12288,1536,torch.float8_e4m3fn
28,12288,1536,torch.float8_e4m3fn
64,12288,1536,torch.float8_e4m3fn
96,12288,1536,torch.float8_e4m3fn
448,12288,1536,torch.float8_e4m3fn
3072,12288,1536,torch.float8_e4m3fn
4096,12288,1536,torch.float8_e4m3fn
32,12288,13312,torch.float8_e4m3fn
512,12288,13312,torch.float8_e4m3fn
1000,12288,13312,torch.float8_e4m3fn
32768,12288,13312,torch.float8_e4m3fn
2,12800,5120,torch.float8_e4m3fn
300,12800,5120,torch.float8_e4m3fn
7,13312,16384,torch.float8_e4m3fn
11,13312,16384,torch.float8_e4m3fn
17,13312,16384,torch.float8_e4m3fn
2560,13312,16384,torch.float8_e4m3fn
5120,13312,16384,torch.float8_e4m3fn
6000,13312,16384,torch.float8_e4m3fn
49152,13312,16384,torch.float8_e4m3fn
9,14336,512,torch.float8_e4m3fn
40,14336,512,torch.float8_e4m3fn
224,14336,512,torch.float8_e4m3fn
384,14336,512,torch.float8_e4m3fn
2560,14336,512,torch.float8_e4m3fn
32,14336,1536,torch.float8_e4m3fn
2,14336,3200,torch.float8_e4m3fn
11,14336,3200,torch.float8_e4m3fn
13,14336,3200,torch.float8_e4m3fn
15,14336,3200,torch.float8_e4m3fn
16,14336,3200,torch.float8_e4m3fn
17,14336,3200,torch.float8_e4m3fn
28,14336,3200,torch.float8_e4m3fn
56,14336,3200,torch.float8_e4m3fn
112,14336,3200,torch.float8_e4m3fn
160,14336,3200,torch.float8_e4m3fn
768,14336,3200,torch.float8_e4m3fn
3072,14336,3200,torch.float8_e4m3fn
24,14336,3584,torch.float8_e4m3fn
48,14336,3584,torch.float8_e4m3fn
256,14336,3584,torch.float8_e4m3fn
333,14336,3584,torch.float8_e4m3fn
8192,14336,3584,torch.float8_e4m3fn
9,14336,4096,torch.float8_e4m3fn
11,14336,4096,torch.float8_e4m3fn
33,14336,4096,torch.float8_e4m3fn
224,14336,4096,torch.float8_e4m3fn
256,14336,4096,torch.float8_e4m3fn
1536,14336,4096,torch.float8_e4m3fn
5120,14336,4096,torch.float8_e4m3fn
4,14336,6400,torch.float8_e4m3fn
8,14336,6400,torch.float8_e4m3fn
56,14336,6400,torch.float8_e4m3fn
1024,14336,6400,torch.float8_e4m3fn
1500,14336,6400,torch.float8_e4m3fn
2560,14336,6400,torch.float8_e4m3fn
32768,14336,6400,torch.float8_e4m3fn
11,14336,8192,torch.float8_e4m3fn
15,14336,8192,torch.float8_e4m3fn
17,14336,8192,torch.float8_e4m3fn
24,14336,8192,torch.float8_e4m3fn
160,14336,8192,torch.float8_e4m3fn
3072,14336,8192,torch.float8_e4m3fn
10240,14336,8192,torch.float8_e4m3fn
4,16384,512,torch.float8_e4m3fn
7,16384,512,torch.float8_e4m3fn
9,16384,512,torch.float8_e4m3fn
96,16384,512,torch.float8_e4m3fn
640,16384,512,torch.float8_e4m3fn
1280,16384,512,torch.float8_e4m3fn
2560,16384,512,torch.float8_e4m3fn
8,16384,2048,torch.float8_e4m3fn
33,16384,2048,torch.float8_e4m3fn
48,16384,2048,torch.float8_e4m3fn
896,16384,2048,torch.float8_e4m3fn
5,16384,4096,torch.float8_e4m3fn
17,16384,4096,torch.float8_e4m3fn
28,16384,4096,torch.float8_e4m3fn
48,16384,4096,torch.float8_e4m3fn
96,16384,4096,torch.float8_e4m3fn
1234,16384,4096,torch.float8_e4m3fn
6000,16384,4096,torch.float8_e4m3fn
10000,16384,4096,torch.float8_e4m3fn
20480,16384,4096,torch.float8_e4m3fn
15,16384,6656,torch.float8_e4m3fn
28,16384,6656,torch.float8_e4m3fn
80,16384,6656,torch.float8_e4m3fn
448,16384,6656,torch.float8_e4m3fn
12288,16384,6656,torch.float8_e4m3fn
40000,16384,6656,torch.float8_e4m3fn
20,16384,8192,torch.float8_e4m3fn
65536,16384,8192,torch.float8_e4m3fn
13,16384,13312,torch.float8_e4m3fn
40,16384,13312,torch.float8_e4m3fn
2560,16384,13312,torch.float8_e4m3fn
12288,16384,13312,torch.float8_e4m3fn
11,16384,26624,torch.float8_e4m3fn
24,16384,26624,torch.float8_e4m3fn
1,18432,7168,torch.float8_e4m3fn
6,18432,7168,torch.float8_e4m3fn
11,18432,7168,torch.float8_e4m3fn
16,18432,7168,torch.float8_e4m3fn
24,18432,7168,torch.float8_e4m3fn
48,18432,7168,torch.float8_e4m3fn
320,18432,7168,torch.float8_e4m3fn
512,18432,7168,torch.float8_e4m3fn
768,18432,7168,torch.float8_e4m3fn
1280,18432,7168,torch.float8_e4m3fn
2048,18432,7168,torch.float8_e4m3fn
40000,18432,7168,torch.float8_e4m3fn
1,18432,13312,torch.float8_e4m3fn
5,18432,13312,torch.float8_e4m3fn
32,18432,13312,torch.float8_e4m3fn
128,18432,13312,torch.float8_e4m3fn
1536,18432,13312,torch.float8_e4m3fn
2000,18432,13312,torch.float8_e4m3fn
10,18432,25600,torch.float8_e4m3fn
17,18432,25600,torch.float8_e4m3fn
48,18432,25600,torch.float8_e4m3fn
56,18432,25600,torch.float8_e4m3fn
768,18432,25600,torch.float8_e4m3fn
2,20480,256,torch.float8_e4m3fn
8,20480,256,torch.float8_e4m3fn
28,20480,256,torch.float8_e4m3fn
32,20480,256,torch.float8_e4m3fn
48,20480,256,torch.float8_e4m3fn
64,20480,256,torch.float8_e4m3fn
128,20480,256,torch.float8_e4m3fn
224,20480,256,torch.float8_e4m3fn
448,20480,256,torch.float8_e4m3fn
13,20480,1536,torch.float8_e4m3fn
16,20480,1536,torch.float8_e4m3fn
17,20480,1536,torch.float8_e4m3fn
24,20480,1536,torch.float8_e4m3fn
40,20480,1536,torch.float8_e4m3fn
1500,20480,1536,torch.float8_e4m3fn
1536,20480,1536,torch.float8_e4m3fn
4096,20480,1536,torch.float8_e4m3fn
6144,20480,1536,torch.float8_e4m3fn
12288,20480,1536,torch.float8_e4m3fn
20480,20480,1536,torch.float8_e4m3fn
65536,20480,1536,torch.float8_e4m3fn
12,24576,1280,torch.float8_e4m3fn
13,24576,1280,torch.float8_e4m3fn
80,24576,1280,torch.float8_e4m3fn
128,24576,1280,torch.float8_e4m3fn
192,24576,1280,torch.float8_e4m3fn
448,24576,1280,torch.float8_e4m3fn
10240,24576,1280,torch.float8_e4m3fn
40000,24576,1280,torch.float8_e4m3fn
7,24576,1536,torch.float8_e4m3fn
8,24576,1536,torch.float8_e4m3fn
13,24576,1536,torch.float8_e4m3fn
16,24576,1536,torch.float8_e4m3fn
20,24576,1536,torch.float8_e4m3fn
24,24576,1536,torch.float8_e4m3fn
32768,24576,1536,torch.float8_e4m3fn
10,26624,256,torch.float8_e4m3fn
24,26624,256,torch.float8_e4m3fn
112,26624,256,torch.float8_e4m3fn
5,26624,16384,torch.float8_e4m3fn
80,26624,16384,torch.float8_e4m3fn
20,32768,512,torch.float8_e4m3fn
28,32768,512,torch.float8_e4m3fn
160,32768,512,torch.float8_e4m3fn
49152,32768,512,torch.float8_e4m3fn
1,32768,1536,torch.float8_e4m3fn
8,32768,1536,torch.float8_e4m3fn
12,32768,1536,torch.float8_e4m3fn
333,32768,1536,torch.float8_e4m3fn
448,32768,1536,torch.float8_e4m3fn
640,32768,1536,torch.float8_e4m3fn
1280,32768,1536,torch.float8_e4m3fn
2048,32768,1536,torch.float8_e4m3fn
20480,32768,1536,torch.float8_e4m3fn
4,36864,256,torch.float8_e4m3fn
6,36864,256,torch.float8_e4m3fn
7,36864,256,torch.float8_e4m3fn
12,36864,256,torch.float8_e4m3fn
24,36864,256,torch.float8_e4m3fn
768,36864,256,torch.float8_e4m3fn
2048,36864,256,torch.float8_e4m3fn
1,36864,7168,torch.float8_e4m3fn
5,36864,7168,torch.float8_e4m3fn
6,36864,7168,torch.float8_e4m3fn
40,36864,7168,torch.float8_e4m3fn
192,36864,7168,torch.float8_e4m3fn
3,36864,18432,torch.float8_e4m3fn
6,36864,18432,torch.float8_e4m3fn
20,36864,18432,torch.float8_e4m3fn
112,36864,18432,torch.float8_e4m3fn
320,36864,18432,torch.float8_e4m3fn
448,36864,18432,torch.float8_e4m3fn
640,36864,18432,torch.float8_e4m3fn
896,36864,18432,torch.float8_e4m3fn
1024,36864,18432,torch.float8_e4m3fn
4,51200,256,torch.float8_e4m3fn
13,51200,256,torch.float8_e4m3fn
28,51200,256,torch.float8_e4m3fn
80,51200,256,torch.float8_e4m3fn
16,51200,1280,torch.float8_e4m3fn
80,51200,1280,torch.float8_e4m3fn
2560,51200,1280,torch.float8_e4m3fn
13,51200,4096,torch.float8_e4m3fn
15,51200,4096,torch.float8_e4m3fn
1536,51200,4096,torch.float8_e4m3fn
8192,51200,4096,torch.float8_e4m3fn
16384,51200,4096,torch.float8_e4m3fn
20480,51200,4096,torch.float8_e4m3fn
7,51200,4608,torch.float8_e4m3fn
12,51200,4608,torch.float8_e4m3fn
20,51200,4608,torch.float8_e4m3fn
56,51200,4608,torch.float8_e4m3fn
192,51200,4608,torch.float8_e4m3fn
2560,51200,4608,torch.float8_e4m3fn
13,51200,5120,torch.float8_e4m3fn
320,51200,5120,torch.float8_e4m3fn
3,53248,16384,torch.float8_e4m3fn
4,53248,16384,torch.float8_e4m3fn
8,53248,16384,torch.float8_e4m3fn
20,53248,16384,torch.float8_e4m3fn
1280,53248,16384,torch.float8_e4m3fn
6,57344,1280,torch.float8_e4m3fn
13,57344,1280,torch.float8_e4m3fn
24,57344,1280,torch.float8_e4m3fn
40,57344,1280,torch.float8_e4m3fn
128,57344,1280,torch.float8_e4m3fn
448,57344,1280,torch.float8_e4m3fn
20,57344,2048,torch.float8_e4m3fn
28,57344,2048,torch.float8_e4m3fn
40,57344,2048,torch.float8_e4m3fn
48,57344,2048,torch.float8_e4m3fn
224,57344,2048,torch.float8_e4m3fn
256,57344,2048,torch.float8_e4m3fn
1024,57344,2048,torch.float8_e4m3fn
1536,57344,2048,torch.float8_e4m3fn
1,57344,3584,torch.float8_e4m3fn
4,57344,3584,torch.float8_e4m3fn
28,57344,3584,torch.float8_e4m3fn
6000,57344,3584,torch.float8_e4m3fn
6,57344,8192,torch.float8_e4m3fn
11,57344,8192,torch.float8_e4m3fn
13,57344,8192,torch.float8_e4m3fn
14,57344,8192,torch.float8_e4m3fn
320,57344,8192,torch.float8_e4m3fn
12,57344,16384,torch.float8_e4m3fn
384,57344,16384,torch.float8_e4m3fn
3072,57344,16384,torch.float8_e4m3fn
12288,57344,16384,torch.float8_e4m3fn
